Time,VWC_1,VWC_1_RAW,VWC_2,VWC_2_RAW,Solenoid Status
7/31/19 9:34,0.42,2.40 K,0.24,1.90 K,1
7/31/19 9:35,0.42,2.39 K,0.29,2.03 K,1
7/31/19 9:36,0.41,2.38 K,0.33,2.13 K,1
7/31/19 9:37,0.41,2.37 K,0.34,2.17 K,1
7/31/19 9:38,0.41,2.35 K,0.35,2.18 K,1
7/31/19 9:39,0.4,2.34 K,0.35,2.19 K,1
7/31/19 9:40,0.4,2.33 K,0.35,2.19 K,1
7/31/19 9:41,0.4,2.33 K,0.35,2.19 K,1
7/31/19 9:42,0.39,2.32 K,0.35,2.19 K,1
7/31/19 9:43,0.39,2.31 K,0.35,2.19 K,1
7/31/19 9:44,0.39,2.30 K,0.35,2.19 K,1
7/31/19 9:45,0.38,2.29 K,0.35,2.18 K,1
7/31/19 9:46,0.38,2.29 K,0.34,2.18 K,1
7/31/19 9:47,0.38,2.28 K,0.34,2.17 K,1
7/31/19 9:48,0.38,2.27 K,0.34,2.17 K,1
7/31/19 9:49,0.37,2.27 K,0.34,2.16 K,1
7/31/19 9:50,0.37,2.26 K,0.34,2.16 K,1
7/31/19 9:51,0.37,2.25 K,0.33,2.15 K,1
7/31/19 9:52,0.37,2.24 K,0.33,2.14 K,1
7/31/19 9:53,0.36,2.23 K,0.33,2.13 K,1
7/31/19 9:54,0.36,2.22 K,0.33,2.13 K,1
7/31/19 9:55,0.36,2.22 K,0.33,2.13 K,1
7/31/19 9:56,0.36,2.22 K,0.32,2.12 K,1
7/31/19 9:57,0.36,2.21 K,0.32,2.12 K,1
7/31/19 9:58,0.35,2.21 K,0.32,2.11 K,1
7/31/19 9:59,0.35,2.20 K,0.32,2.11 K,1
7/31/19 10:00,0.35,2.20 K,0.32,2.11 K,1
7/31/19 10:01,0.35,2.20 K,0.32,2.10 K,1
7/31/19 10:02,0.35,2.19 K,0.31,2.10 K,1
7/31/19 10:03,0.35,2.19 K,0.31,2.09 K,1
7/31/19 10:04,0.35,2.19 K,0.31,2.09 K,1
7/31/19 10:05,0.35,2.19 K,0.31,2.09 K,1
7/31/19 10:06,0.34,2.18 K,0.31,2.08 K,1
7/31/19 10:07,0.34,2.17 K,0.31,2.08 K,1
7/31/19 10:08,0.34,2.17 K,0.31,2.08 K,1
7/31/19 10:09,0.34,2.17 K,0.31,2.07 K,1
7/31/19 10:10,0.34,2.16 K,0.31,2.07 K,1
7/31/19 10:11,0.34,2.16 K,0.31,2.07 K,1
7/31/19 10:12,0.34,2.16 K,0.3,2.06 K,1
7/31/19 10:13,0.34,2.16 K,0.3,2.06 K,1
7/31/19 10:14,0.34,2.16 K,0.3,2.07 K,1
7/31/19 10:15,0.33,2.15 K,0.3,2.06 K,1
7/31/19 10:16,0.33,2.15 K,0.3,2.06 K,1
7/31/19 10:17,0.33,2.15 K,0.3,2.06 K,1
7/31/19 10:18,0.33,2.15 K,0.3,2.06 K,1
7/31/19 10:19,0.33,2.14 K,0.3,2.05 K,1
7/31/19 10:20,0.33,2.14 K,0.3,2.05 K,1
7/31/19 10:21,0.33,2.14 K,0.3,2.05 K,1
7/31/19 10:22,0.33,2.14 K,0.3,2.05 K,1
7/31/19 10:23,0.33,2.14 K,0.29,2.04 K,1
7/31/19 10:24,0.33,2.14 K,0.29,2.04 K,1
7/31/19 10:25,0.33,2.14 K,0.29,2.03 K,1
7/31/19 10:26,0.33,2.13 K,0.29,2.04 K,1
7/31/19 10:27,0.33,2.13 K,0.29,2.04 K,1
7/31/19 10:28,0.33,2.13 K,0.29,2.04 K,1
7/31/19 10:29,0.33,2.13 K,0.29,2.03 K,1
7/31/19 10:30,0.33,2.13 K,0.29,2.03 K,1
7/31/19 10:31,0.33,2.13 K,0.29,2.03 K,1
7/31/19 10:32,0.33,2.13 K,0.29,2.03 K,1
7/31/19 10:33,0.32,2.13 K,0.29,2.03 K,1
7/31/19 10:34,0.32,2.12 K,0.29,2.02 K,1
7/31/19 10:35,0.32,2.12 K,0.29,2.02 K,1
7/31/19 10:36,0.32,2.12 K,0.29,2.03 K,1
7/31/19 10:37,0.32,2.12 K,0.29,2.02 K,1
7/31/19 10:38,0.32,2.12 K,0.29,2.02 K,1
7/31/19 10:39,0.32,2.12 K,0.29,2.02 K,1
7/31/19 10:40,0.32,2.12 K,0.29,2.02 K,1
7/31/19 10:41,0.32,2.12 K,0.29,2.01 K,1
7/31/19 10:42,0.32,2.12 K,0.28,2.01 K,1
7/31/19 10:43,0.32,2.11 K,0.28,2.01 K,1
7/31/19 10:44,0.32,2.12 K,0.28,2.01 K,1
7/31/19 10:45,0.32,2.11 K,0.28,2.01 K,1
7/31/19 10:46,0.32,2.11 K,0.28,2.01 K,1
7/31/19 10:47,0.32,2.11 K,0.28,2.01 K,1
7/31/19 10:48,0.32,2.11 K,0.28,2.01 K,1
7/31/19 10:49,0.32,2.11 K,0.28,2.01 K,1
7/31/19 10:50,0.32,2.10 K,0.28,2.00 K,1
7/31/19 10:51,0.32,2.11 K,0.28,2.00 K,1
7/31/19 10:52,0.32,2.10 K,0.28,2.00 K,1
7/31/19 10:53,0.32,2.10 K,0.28,2.01 K,1
7/31/19 10:54,0.32,2.10 K,0.28,2.00 K,1
7/31/19 10:55,0.32,2.10 K,0.28,2.00 K,1
7/31/19 10:56,0.32,2.10 K,0.28,1.99 K,1
7/31/19 10:57,0.32,2.10 K,0.28,2.00 K,1
7/31/19 10:58,0.32,2.10 K,0.28,2.00 K,1
7/31/19 10:59,0.31,2.10 K,0.28,2.00 K,1
7/31/19 11:00,0.31,2.10 K,0.28,2.00 K,1
7/31/19 11:01,0.31,2.10 K,0.28,1.99 K,1
7/31/19 11:02,0.31,2.10 K,0.28,1.99 K,1
7/31/19 11:03,0.31,2.09 K,0.28,1.99 K,1
7/31/19 11:04,0.31,2.10 K,0.28,1.99 K,1
7/31/19 11:05,0.31,2.09 K,0.28,1.99 K,1
7/31/19 11:06,0.31,2.10 K,0.28,1.99 K,1
7/31/19 11:07,0.31,2.09 K,0.27,1.99 K,1
7/31/19 11:08,0.31,2.09 K,0.28,1.99 K,1
7/31/19 11:09,0.31,2.09 K,0.27,1.99 K,1
7/31/19 11:10,0.31,2.09 K,0.27,1.99 K,1
7/31/19 11:11,0.31,2.09 K,0.27,1.99 K,1
7/31/19 11:12,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:13,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:14,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:15,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:16,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:17,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:18,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:19,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:20,0.31,2.09 K,0.27,1.98 K,1
7/31/19 11:21,0.31,2.09 K,0.27,1.97 K,1
7/31/19 11:22,0.31,2.09 K,0.27,1.97 K,1
7/31/19 11:23,0.31,2.08 K,0.27,1.98 K,1
7/31/19 11:24,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:25,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:26,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:27,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:28,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:29,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:30,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:31,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:32,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:33,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:34,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:35,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:36,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:37,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:38,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:39,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:40,0.31,2.08 K,0.27,1.97 K,1
7/31/19 11:41,0.31,2.08 K,0.26,1.96 K,1
7/31/19 11:42,0.31,2.07 K,0.27,1.96 K,1
7/31/19 11:43,0.31,2.07 K,0.27,1.96 K,1
7/31/19 11:44,0.31,2.08 K,0.27,1.96 K,1
7/31/19 11:45,0.31,2.07 K,0.26,1.96 K,1
7/31/19 11:46,0.31,2.07 K,0.27,1.96 K,1
7/31/19 11:47,0.31,2.07 K,0.27,1.96 K,1
7/31/19 11:48,0.3,2.07 K,0.27,1.96 K,1
7/31/19 11:49,0.31,2.07 K,0.27,1.96 K,1
7/31/19 11:50,0.31,2.07 K,0.26,1.95 K,1
7/31/19 11:51,0.3,2.07 K,0.27,1.96 K,1
7/31/19 11:52,0.3,2.07 K,0.27,1.96 K,1
7/31/19 11:53,0.31,2.07 K,0.26,1.96 K,1
7/31/19 11:54,0.3,2.07 K,0.26,1.96 K,1
7/31/19 11:55,0.3,2.07 K,0.27,1.96 K,1
7/31/19 11:56,0.3,2.07 K,0.26,1.96 K,1
7/31/19 11:57,0.3,2.07 K,0.26,1.95 K,1
7/31/19 11:58,0.3,2.07 K,0.26,1.95 K,1
7/31/19 11:59,0.3,2.07 K,0.26,1.95 K,1
7/31/19 12:00,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:01,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:02,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:03,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:04,0.3,2.07 K,0.26,1.95 K,1
7/31/19 12:05,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:06,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:07,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:08,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:09,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:10,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:11,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:12,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:13,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:14,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:15,0.3,2.06 K,0.26,1.94 K,1
7/31/19 12:16,0.3,2.06 K,0.26,1.94 K,1
7/31/19 12:17,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:18,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:19,0.3,2.06 K,0.26,1.95 K,1
7/31/19 12:20,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:21,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:22,0.3,2.06 K,0.26,1.94 K,1
7/31/19 12:23,0.3,2.06 K,0.26,1.94 K,1
7/31/19 12:24,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:25,0.3,2.06 K,0.26,1.94 K,1
7/31/19 12:26,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:27,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:28,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:29,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:30,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:31,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:32,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:33,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:34,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:35,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:36,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:37,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:38,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:39,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:40,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:41,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:42,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:43,0.3,2.05 K,0.25,1.93 K,1
7/31/19 12:44,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:45,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:46,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:47,0.3,2.05 K,0.26,1.93 K,1
7/31/19 12:48,0.3,2.05 K,0.26,1.94 K,1
7/31/19 12:49,0.3,2.05 K,0.25,1.93 K,1
7/31/19 12:50,0.3,2.04 K,0.26,1.93 K,1
7/31/19 12:51,0.3,2.04 K,0.26,1.93 K,1
7/31/19 12:52,0.3,2.04 K,0.26,1.93 K,1
