Time,VWC_1,VWC_1_RAW,VWC_2,VWC_2_RAW
7/31/19 9:30,0.22,1.82 K,0.32,2.10 K
7/31/19 9:35,0.26,1.94 K,0.32,2.11 K
7/31/19 9:40,0.29,2.03 K,0.32,2.11 K
7/31/19 9:45,0.3,2.05 K,0.32,2.10 K
7/31/19 9:50,0.3,2.06 K,0.32,2.10 K
7/31/19 9:55,0.31,2.07 K,0.32,2.10 K
7/31/19 10:00,0.31,2.08 K,0.32,2.11 K
7/31/19 10:05,0.31,2.09 K,0.33,2.15 K
7/31/19 10:10,0.31,2.09 K,0.36,2.23 K
7/31/19 10:15,0.31,2.09 K,0.37,2.26 K
7/31/19 10:20,0.31,2.08 K,0.37,2.26 K
7/31/19 10:25,0.31,2.08 K,0.37,2.26 K
7/31/19 10:30,0.3,2.07 K,0.37,2.25 K
7/31/19 10:35,0.3,2.06 K,0.37,2.25 K
7/31/19 10:40,0.3,2.06 K,0.37,2.25 K
7/31/19 10:45,0.3,2.05 K,0.37,2.24 K
7/31/19 10:50,0.3,2.05 K,0.37,2.25 K
7/31/19 10:55,0.3,2.04 K,0.37,2.27 K
7/31/19 11:00,0.29,2.04 K,0.38,2.28 K
7/31/19 11:05,0.29,2.04 K,0.39,2.30 K
7/31/19 11:10,0.29,2.03 K,0.39,2.31 K
7/31/19 11:15,0.29,2.03 K,0.39,2.32 K
7/31/19 11:20,0.29,2.03 K,0.36,2.24 K
7/31/19 11:25,0.29,2.03 K,0.35,2.20 K
7/31/19 11:30,0.29,2.03 K,0.35,2.19 K
7/31/19 11:35,0.29,2.02 K,0.34,2.18 K
7/31/19 11:40,0.29,2.02 K,0.35,2.19 K
7/31/19 11:45,0.29,2.02 K,0.35,2.19 K
7/31/19 11:50,0.29,2.02 K,0.35,2.20 K
7/31/19 11:55,0.29,2.02 K,0.35,2.20 K
7/31/19 12:00,0.28,2.01 K,0.35,2.21 K
7/31/19 12:05,0.28,2.01 K,0.36,2.22 K
